feature,importance,std
city_Newtown,0.0,0.0
city_New Milford,0.0,0.0
city_Manchester,0.0,0.0
city_Middlebury,0.0,0.0
city_Trumbull,0.0,0.0
city_Upper Saddle River,0.0,0.0
city_Southbury,0.0,0.0
city_Stamford,0.0,0.0
city_Wallingford,0.0,0.0
city_Oxford,0.0,0.0
city_Oakville,0.0,0.0
city_Old Saybrook,0.0,0.0
state_MA,0.0,0.0
city_Wolcott,0.0,0.0
city_West Springfield,0.0,0.0
state_NH,0.0,0.0
city_West Hartford,0.0,0.0
city_Guilford,0.0,0.0
fuel_other,0.0,0.0
fuel_natural gas,0.0,0.0
zipcode_6850.0,0.0,0.0
zipcode_6770.0,0.0,0.0
zipcode_6611.0,0.0,0.0
zipcode_6614.0,0.0,0.0
zipcode_6478.0,0.0,0.0
zipcode_6477.0,0.0,0.0
zipcode_6473.0,0.0,0.0
zipcode_6470.0,0.0,0.0
zipcode_12563.0,0.0,0.0
zipcode_12601.0,0.0,0.0
zipcode_10475.0,0.0,0.0
zipcode_1089.0,0.0,0.0
zipcode_3051.0,0.0,0.0
state_MN,0.0,0.0
state_NY,0.0,0.0
state_NJ,0.0,0.0
zipcode_6410.0,0.0,0.0
zipcode_6413.0,0.0,0.0
zipcode_6026.0,0.0,0.0
zipcode_6029.0,0.0,0.0
zipcode_6037.0,0.0,0.0
zipcode_6107.0,0.0,0.0
zipcode_6401.0,0.0,0.0
zipcode_6405.0,0.0,0.0
zipcode_6419.0,0.0,0.0
zipcode_6437.0,0.0,0.0
zipcode_6417.0,0.0,0.0
zipcode_6418.0,0.0,0.0
zipcode_6443.0,0.0,0.0
zipcode_3062.0,0.0,0.0
zipcode_56055.0,0.0,0.0
zipcode_3101.0,0.0,0.0
zipcode_7458.0,0.0,0.0
zipcode_6824.0,0.0,0.0
zipcode_6779.0,0.0,0.0
zipcode_6810.0,0.0,0.0
zipcode_6716.0,0.0,0.0
zipcode_6762.0,0.0,0.0
zipcode_6615.0,0.0,0.0
zipcode_6702.0,0.0,0.0
zipcode_6514.0,0.0,0.0
zipcode_6488.0,0.0,0.0
zipcode_6510.0,0.0,0.0
zipcode_6492.0,0.0,0.0
zipcode_6524.0,0.0,0.0
zipcode_6516.0,0.0,0.0
zipcode_6484.0,0.0,0.0
zipcode_6475.0,0.0,0.0
zipcode_6902.0,0.0,0.0
city_North Branford,-0.6751169864825443,1.3502339729650885
zipcode_6471.0,-1.5516759193852976,1.616312069753933
city_Meriden,-2.699457597605215,22.34378857700243
fuel_gas,-2.8820274932875236,6.971707735277494
color_silver,-4.39724401553467,20.785826923436474
transmission_automatic,-4.819633703635373,13.809227436758416
city_West Haven,-6.41429906178837,32.78341882055517
fuel_diesel,-6.6651573819131045,11.04547133960653
state_CT,-8.917790127822764,15.329181762272311
color_black,-10.49517126206256,11.382253823095404
condition_excellent,-16.356689227660127,23.589260285339915
color_custom,-17.118602716870647,13.977292773967005
city_Waterbury,-81.30686755385099,153.1919849476514
color_gray,-184.02180321360137,92.01106958364085
condition_like_new,-226.44946912734517,113.22660367906441
