feature,importance_mean,importance_std
make_model_Jeep_Wrangler Sahara,0.0,0.0
make_model_Jeep_Wrangler Sport,0.0,0.0
make_model_Jeep_Wrangler YJ,0.0,0.0
make_model_Kia_Forte,0.0,0.0
make_model_Kia_Optima,0.0,0.0
make_model_Kia_Telluride,0.0,0.0
make_model_Land Rover_Defender 90,0.0,0.0
make_model_Land Rover_Range Rover Sport,0.0,0.0
make_model_Lexus_GS 300,0.0,0.0
make_model_Lexus_LS 460,0.0,0.0
make_model_Lexus_LX 570,0.0,0.0
make_model_Lexus_Nx 300 F Sport,0.0,0.0
make_model_Maserati_Quattroporte,0.0,0.0
make_model_Mazda_CX-5,0.0,0.0
make_model_Mazda_Mazda3,0.0,0.0
make_model_Mercedes Benz_GLE 43,0.0,0.0
make_model_Mercedes-Benz_CLA,0.0,0.0
make_model_Mercedes-Benz_E-Class,0.0,0.0
make_model_Mercedes-Benz_GL 450 4MATIC,0.0,0.0
make_model_Mercedes-Benz_GLA 250,0.0,0.0
make_model_Mercedes-Benz_M-Class,0.0,0.0
make_model_Mercedes-Benz_S-Class,0.0,0.0
make_model_Mercedes-Benz_S-class S550,0.0,0.0
make_model_Mercedes-benz_E-class,0.0,0.0
make_model_Mercedes-benz_GLC 300,0.0,0.0
make_model_Mercury_Mountaineer Sport Utility,0.0,0.0
make_model_Mini Cooper_Countryman S Hatchback,0.0,0.0
make_model_Mini_Cooper Hatchback,0.0,0.0
make_model_Mitsubishi_Montero,0.0,0.0
make_model_Nissan_Altima,0.0,0.0
make_model_Nissan_Frontier,0.0,0.0
make_model_Nissan_Maxima,0.0,0.0
make_model_Nissan_Maxima SR,0.0,0.0
make_model_Nissan_Maxima SV,0.0,0.0
make_model_Nissan_Murano,0.0,0.0
make_model_Nissan_Quest SL,0.0,0.0
make_model_Nissan_Rogue,0.0,0.0
make_model_Nissan_Sentra,0.0,0.0
make_model_Nissan_Versa,0.0,0.0
make_model_Pontiac_Trans Am,0.0,0.0
make_model_RAM_PROMASTER 2500,0.0,0.0
make_model_Ram_Dakota,0.0,0.0
make_model_Ram_ProMaster 2500,0.0,0.0
make_model_SUBARU_FORESTER TOURING,0.0,0.0
make_model_Saturn_Vue,0.0,0.0
make_model_Subaru_Crosstrek,0.0,0.0
make_model_Subaru_Forester,0.0,0.0
make_model_Subaru_Impreza,0.0,0.0
make_model_Subaru_Outback,0.0,0.0
make_model_Subaru_XV Crosstrek Hybrid,0.0,0.0
make_model_Suzuki_Carry,0.0,0.0
make_model_Tesla_Model 3,0.0,0.0
make_model_Tesla_Model Y,0.0,0.0
make_model_Toyota_Avalon Hybrid,0.0,0.0
make_model_Toyota_Camry,0.0,0.0
make_model_Toyota_Camry XLE,0.0,0.0
make_model_Toyota_Corolla,0.0,0.0
make_model_Toyota_Corolla LE,0.0,0.0
make_model_Toyota_Land Cruiser,0.0,0.0
make_model_Toyota_Prius C Four,0.0,0.0
make_model_Toyota_Prius Two,0.0,0.0
make_model_Toyota_RAV4 Hybrid,0.0,0.0
make_model_Toyota_Rav4,0.0,0.0
make_model_Toyota_Venza,0.0,0.0
make_model_Volkswagen_Gti,0.0,0.0
make_model_Volkswagen_Jetta Sedan,0.0,0.0
make_model_Volkswagen_Passat,0.0,0.0
make_model_Volkswagen_Tiguan,0.0,0.0
make_model_Volvo_262C Bertone,0.0,0.0
make_model_Volvo_S60 T5 AWD Sport Sedan,0.0,0.0
make_model_bmw_325i,0.0,0.0
make_model_cadillac_escalade,0.0,0.0
make_model_chevrolet_Silverado 1500,0.0,0.0
make_model_chevrolet_camaro,0.0,0.0
make_model_chevrolet_suburban,0.0,0.0
make_model_chevrolet_tahoe,0.0,0.0
make_model_chevy_aveo,0.0,0.0
make_model_chevy_silverado 1500,0.0,0.0
make_model_dodge_ram 3500,0.0,0.0
make_model_ford_e-250 econoline,0.0,0.0
make_model_ford_e-350 econoline,0.0,0.0
make_model_ford_e350 super duty cutaway,0.0,0.0
make_model_ford_f-150,0.0,0.0
make_model_ford_fusion titanium,0.0,0.0
make_model_ford_pick up,0.0,0.0
make_model_honda_accord,0.0,0.0
make_model_honda_accord ex-l,0.0,0.0
make_model_honda_accord sport,0.0,0.0
make_model_jeep_grand cherokee laredo,0.0,0.0
make_model_jeep_wrangler sport,0.0,0.0
make_model_kia_rio,0.0,0.0
make_model_lexus_is 250,0.0,0.0
make_model_mazda_protege,0.0,0.0
make_model_mercedes-benz_GLE 350,0.0,0.0
make_model_nissan_rogue s,0.0,0.0
make_model_pontiac_firebird trans am,0.0,0.0
make_model_subaru_forester,0.0,0.0
make_model_subaru_outback,0.0,0.0
make_model_toyota_camry,0.0,0.0
make_model_volkswagen_tiguan,0.0,0.0
zipcode_01089,0.0,0.0
zipcode_03051,0.0,0.0
